All installed programs list generated by choco-package-list-backup on 2022-02-15.


DisplayName                                                                   DisplayVersion      Publisher                                          
vs_SQLClickOnceBootstrappermsi                                                17.1.32112          Microsoft Corporation                              
Microsoft Analysis Services OLE DB Provider                                   15.0.2000.568       Microsoft Corporation                              
Markdown Outlook                                                              1.0.0               Markdown Outlook                                   
                                                                                                                                                     
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30708            14.30.30708.0       Microsoft Corporation                              
vs_minshellmsi                                                                16.11.31503         Microsoft Corporation                              
Microsoft .NET Core Runtime - 3.1.22 (x86)                                    24.88.30721         Microsoft Corporation                              
Microsoft .NET Framework 4.5 Multi-Targeting Pack                             4.5.50710           Microsoft Corporation                              
Clientele ITSM Client Update Service                                          8.27.0.0            Mproof International BV / Epicor Software Corpor...
ClickOnce Bootstrapper Package for Microsoft .NET Framework                   4.8.04162           Microsoft Corporation                              
Realtek Card Reader                                                           10.0.18362.21317    Realtek Semiconductor Corp.                        
Microsoft VC++ redistributables repacked.                                     12.0.0.0            Intel Corporation                                  
vs_communitymsi                                                               16.11.31911         Microsoft Corporation                              
vs_cuitcommoncoremsi17                                                        17.1.32113          Microsoft Corporation                              
Windows Team Extension SDK Contracts                                          10.1.19041.685      Microsoft Corporation                              
                                                                                                                                                     
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660                  12.0.40660.0        Microsoft Corporation                              
                                                                                                                                                     
Microsoft ASP.NET Web Tools Packages 17.0 - ENU                               17.0.10526.0        Microsoft Corporation                              
Windows App Certification Kit x64                                             10.1.19041.685      Microsoft Corporation                              
Microsoft Visual Studio Setup Configuration                                   3.1.1126.51066      Microsoft Corporation                              
Intel(R) Dynamic Tuning                                                       8.7.10600.20700     Intel Corporation                                  
Microsoft Windows Desktop Runtime - 5.0.13 (x86)                              40.52.30717         Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 3.1.22 (x86)                              3.1.22.30721        Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 3.1.22 (x64)                              3.1.22.30721        Microsoft Corporation                              
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack                           4.5.50932           Microsoft Corporation                              
FireEye Endpoint Agent                                                        32.30.0             FireEye                                            
Universal CRT Headers Libraries and Sources                                   10.1.19041.685      Microsoft Corporation                              
Windows Phone SDK 8.0 Assemblies for Visual Studio 2019                       16.0.31404          Microsoft Corporation                              
TypeScript SDK                                                                4.3.5.0             Microsoft Corporation                              
Clientele ITSM Client 2019.1                                                  8.27.0.0            Mproof International BV / Epicor Software Corpor...
Microsoft ASP.NET Packages for MVC 4 - ENU                                    16.0.21125.0        Microsoft Corporation                              
Windows Mobile Extension SDK                                                  10.1.19041.685      Microsoft Corporation                              
Microsoft .NET SDK 6.0.100 (x64)                                              6.1.21.52711        Microsoft Corporation                              
Microsoft System CLR Types for SQL Server 2019 CTP2.2                         15.0.1200.24        Microsoft Corporation                              
SDK ARM Redistributables                                                      10.1.19041.685      Microsoft Corporation                              
